City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,sal'sk,46.4725,41.5428,16.04,61,100,2.24,RU,1698735886
326,bangassou,4.7413,22.8184,26.12,80,80,1.4,CF,1698735418
327,mareeba,-17.0,145.4333,29.13,47,100,3.32,AU,1698735886
328,tucuma,-0.1833,-50.05,24.65,87,6,1.79,BR,1698735817
329,wangkui,46.8333,126.5,3.27,81,100,4.09,CN,1698735886
330,aswan,24.0934,32.907,27.61,47,0,2.06,EG,1698735886
331,broome,42.2506,-75.833,3.68,94,100,2.57,US,1698735887
332,nar'yan-mar,67.6713,53.087,-10.5,97,92,2.68,RU,1698735177
333,corner brook,48.9667,-57.9484,0.09,97,100,0.99,CA,1698735414
334,el tigre,8.8875,-64.2454,23.16,90,73,3.44,VE,1698735887
335,hami,42.8,93.45,17.48,31,86,0.27,CN,1698735887
336,nagqu,31.5,92.0,3.52,34,12,2.72,CN,1698735887
337,qarazhal,48.0078,70.7903,4.74,65,100,8.84,KZ,1698735887
338,itoman,26.1247,127.6694,27.43,62,40,7.2,JP,1698735887
339,igrim,63.1906,64.4162,-7.04,76,100,2.9,RU,1698735441
340,kiselevsk,53.99,86.6621,-3.46,98,100,1.53,RU,1698735887
341,krasnoural'sk,58.3638,60.0407,-3.11,82,100,1.22,RU,1698735888
342,indi,17.1667,75.9667,31.27,31,39,3.12,IN,1698735888
343,mazamari,-11.3258,-74.5308,21.57,86,100,0.72,PE,1698735888
344,kimbe,-5.5502,150.1429,25.23,91,100,1.46,PG,1698735888
345,hakkari,37.5833,44.1667,13.63,53,97,2.03,TR,1698735720
346,zeribet el oued,34.6828,6.5111,25.31,24,87,2.1,DZ,1698735888
347,rabaul,-4.1967,152.1721,26.03,81,100,0.42,PG,1698735446
348,floro,61.5996,5.0328,5.54,54,0,3.6,NO,1698735446
349,tofol,5.3248,163.0078,28.67,74,100,3.88,FM,1698735888
350,kandira,41.0736,30.1746,22.86,77,25,1.15,TR,1698735889
351,papao,-17.75,-149.55,25.82,84,14,10.55,PF,1698735405
352,pandan,14.0453,124.1694,26.56,91,100,7.24,PH,1698735889
353,hacienda huancane,-15.8222,-70.8856,2.86,42,60,1.85,PE,1698735889
354,korenevo,55.6719,38.0078,8.64,100,75,2.0,RU,1698735889
355,kenai,60.5544,-151.2583,-1.97,93,0,0.0,US,1698735886
356,saint-pierre,-21.3393,55.4781,28.82,51,0,2.06,RE,1698735387
357,pyt-yakh,60.7499,72.8582,-11.3,73,95,2.63,RU,1698735889
358,sycamore,41.9889,-88.6868,-2.14,81,0,2.57,US,1698735828
359,luwuk,-0.9516,122.7875,30.76,60,40,2.72,ID,1698735385
360,kibuye,-2.0597,29.3482,23.07,62,100,1.9,RW,1698735889
361,outjo,-20.1167,16.15,24.38,15,0,1.35,NA,1698735889
